class,subject,file,why
dead-by-table,cold_pilgrim,cold_pilgrim_walk.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,mummy,mummy_walk.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,mummy,mummy_walk_s.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,mummy,mummy_walk_se.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,mummy,mummy_walk_e.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,mummy,mummy_walk_ne.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,mummy,mummy_walk_n.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,mummy,mummy_walk_nw.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,mummy,mummy_walk_w.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,mummy,mummy_walk_sw.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,mummy_mage,mummy_mage_walk.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,mummy_mage,mummy_mage_walk_s.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,mummy_mage,mummy_mage_walk_se.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,mummy_mage,mummy_mage_walk_e.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,mummy_mage,mummy_mage_walk_ne.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,mummy_mage,mummy_mage_walk_n.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,mummy_mage,mummy_mage_walk_nw.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,mummy_mage,mummy_mage_walk_w.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,mummy_mage,mummy_mage_walk_sw.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,null_acolyte,null_acolyte_walk.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,null_acolyte,null_acolyte_walk_s.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,null_acolyte,null_acolyte_walk_se.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,null_acolyte,null_acolyte_walk_e.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,null_acolyte,null_acolyte_walk_ne.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,null_acolyte,null_acolyte_walk_n.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,null_acolyte,null_acolyte_walk_nw.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,null_acolyte,null_acolyte_walk_w.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,null_acolyte,null_acolyte_walk_sw.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,rat_mage,rat_mage_walk.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,skeleton_mage,skeleton_mage_walk.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,skeleton_mage,skeleton_mage_walk_s.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,skeleton_mage,skeleton_mage_walk_se.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,skeleton_mage,skeleton_mage_walk_e.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,skeleton_mage,skeleton_mage_walk_ne.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,skeleton_mage,skeleton_mage_walk_n.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,skeleton_mage,skeleton_mage_walk_nw.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,skeleton_mage,skeleton_mage_walk_w.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,skeleton_mage,skeleton_mage_walk_sw.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,skeleton_warrior,skeleton_warrior_walk.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,skeleton_warrior,skeleton_warrior_walk_s.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,skeleton_warrior,skeleton_warrior_walk_se.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,skeleton_warrior,skeleton_warrior_walk_e.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,skeleton_warrior,skeleton_warrior_walk_ne.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,skeleton_warrior,skeleton_warrior_walk_n.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,skeleton_warrior,skeleton_warrior_walk_nw.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,skeleton_warrior,skeleton_warrior_walk_w.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,skeleton_warrior,skeleton_warrior_walk_sw.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,static_caller,static_caller_walk.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,static_caller,static_caller_walk_s.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,static_caller,static_caller_walk_se.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,static_caller,static_caller_walk_e.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,static_caller,static_caller_walk_ne.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,static_caller,static_caller_walk_n.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,static_caller,static_caller_walk_nw.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
