name,width
capital_accord_longhouse,413.4375
capital_alembic_station,214.8047
capital_ashen_tankard,344.5312
capital_ashfire_forge,335.3906
capital_chartered_hall,309.375
capital_city_arcade,1653.75
capital_city_bench,139.4531
capital_city_directory,176.6406
capital_crown_fountain,271.6406
capital_crown_spire_gate,878.9062
capital_emberward_gate,404.4141
capital_grand_archive,306.7969
capital_great_hearth,244.1602
capital_market_stall,243.3594
capital_portal_crucible,254.8438
capital_portal_depths,154.082
capital_portal_story,226.4844
capital_proving_gate,387.5
capital_rot_chapel,340.4297
capital_sable_hall,401.1328
capital_stables,385.9766
capital_undercroft,346.6406
capital_watchtower,187.9883
capital_wellspring,284.8828
capital_wildfang_fangmoot,306.7969
capital_vault_chest,90
